Edition,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature
347,Standard,,,,Bruised Eye,Gloves,Bloody Body,Purple,Dosbrak
348,Old Mike,,,Falling Mouthguard,Bruised Eye,199 Belt,Suit,Red,Dosbrak
349,Bald,,Bloody,Cigar,,Bloody Wraps,Tattoo,Purple,Dosbrak
350,Standard,,,Cigar,,199 Belt,Bloody Body,Teal,Dosbrak
351,Bald,,Bloody,,,Gloves,,Black,Dosbrak
352,Standard,,Bloody,,,SOL Gloves,,Blockasset,Dosbrak
353,Old Mike,,,Cigar,,,,Red,Dosbrak
354,Standard,,,Diamond Grill,,Microphone,Suit,Teal,Dosbrak
355,Standard,,,Cigar,,Gold Gloves,Punk Jacket,Purple,Dosbrak
356,Bald,Sparring Headgear,,,,,,Octagon,Dosbrak
357,Standard,,,,,SOL Gloves,Jiu Jitsu Robe,Mustard,Dosbrak
358,Standard,,Red Terminator,,,Bloody Gloves,,Teal,Dosbrak
359,Standard,,,Cigar,,Bloody Gloves,Suit,Black,Dosbrak
360,Old Mike,,,,Wayfarers,,Bloody Body,Octagon,Dosbrak
361,Standard,,,,Wayfarers,199 Belt,Bloody Body,Red,Dosbrak
362,Old Mike,DJ Mikey B,,Falling Mouthguard,,,Jiu Jitsu Robe,Purple,Dosbrak
363,Standard,,,Cigar,Wayfarers,,Bloody Body,Purple,Dosbrak
364,Standard,Snapback,,,,Gloves,Jiu Jitsu Robe,Black,Dosbrak
365,Bald,,,,,,Bloody Body,Red,Dosbrak
366,Old Mike,Snapback,Bloody,Diamond Grill,,199 Belt,,Purple,Dosbrak
367,Bald,,,Diamond Grill,Laser Eyes,Bloody Wraps,Tattoo,Red,Dosbrak
368,Bald,Sparring Headgear,,,,SOL Gloves,,Black,Dosbrak
369,Standard,Announcer,,,,Bare Fists,Jiu Jitsu Robe,Mustard,Dosbrak
370,Standard,Snapback,,,,,Patriot Flag,Black,Dosbrak
371,Standard,Snapback,Red Terminator,,,Bloody Wraps,,Black,Dosbrak
372,Standard,,Bloody,,,SOL Gloves,,Red,Dosbrak
373,Standard,,Bloody,Cigar,Wayfarers,SOL Gloves,Tattoo,Mustard,Dosbrak
374,Standard,Sparring Headgear,,,,Bloody Gloves,,Black,Dosbrak
375,Standard,Sparring Headgear,Bloody,,,SOL Gloves,,Teal,Dosbrak
376,Standard,,,,,Microphone,Suit,Purple,Dosbrak
377,Bald,Sparring Headgear,,,,Bare Fists,,Mustard,Dosbrak
378,Bald,,,,,Gloves,,Black,Dosbrak
379,Bald,Sparring Headgear,,,,Gloves,,Teal,Dosbrak
380,Standard,Announcer,,,Bruised Eye,Gloves,,Teal,Dosbrak
381,Standard,Sparring Headgear,Bloody,,,Bloody Gloves,,Black,Dosbrak
382,Bald,,,,Bruised Eye,Gold Gloves,Bloody Body,Red,Dosbrak
383,Standard,Crown,Bloody,,,Gloves,Suit,Purple,Dosbrak
384,Bald,Snapback,,Cigar,Bruised Eye,Knuckle Duster Spikes,,Purple,Dosbrak
385,Standard,Announcer,,,,SOL Gloves,The Count,Black,Dosbrak
386,Bald,Sparring Headgear,Bloody,,,,,Teal,Dosbrak
387,Old Mike,Snapback,,Cigar,,Bloody Wraps,Bloody Body,Red,Dosbrak
388,Standard,DJ Mikey B,Bloody,,,Bloody Gloves,Bloody Body,Mustard,Dosbrak
389,Standard,Sparring Headgear,,,,Bare Fists,,Black,Dosbrak
390,Bald,,,,Wayfarers,199 Belt,Suit,Purple,Dosbrak
391,Standard,Snapback,,Cigar,,Diamond Gloves,Suit,Red,Dosbrak
392,Standard,Announcer,,,,Diamond Gloves,Jiu Jitsu Robe,Black,Dosbrak
393,Bald,Sparring Headgear,,Falling Mouthguard,,Bloody Wraps,,Red,Dosbrak
394,Standard,,,,Bruised Eye,Bare Fists,,Blockasset,Dosbrak
395,Old Mike,,,Diamond Grill,,199 Belt,Bloody Body,Black,Dosbrak
396,Standard,,,,Wayfarers,,Bloody Body,Black,Dosbrak
397,Bald,,,,,SOL Gloves,Bloody Body,Red,Dosbrak
398,Old Mike,,,,,,Bloody Body,Purple,Dosbrak
399,Standard,Snapback,,,,Bare Fists,,Black,Dosbrak
400,Bald,Announcer,,,,Bare Fists,Bloody Body,Octagon,Dosbrak
401,Bald,,,,,Bloody Gloves,Tattoo,Red,Dosbrak
402,Bald,Crown,,Cigar,Bruised Eye,,Bloody Body,Purple,Dosbrak
403,Standard,,Red Terminator,,,,Bloody Body,Purple,Dosbrak
404,Old Mike,Snapback,,,Bruised Eye,Knuckle Duster Spikes,Jiu Jitsu Robe,Teal,Dosbrak
405,Standard,Announcer,,Falling Mouthguard,,Bloody Gloves,Punk Jacket,Octagon,Dosbrak
406,Bald,,,,,Bare Fists,Punk Jacket,Teal,Dosbrak
407,Standard,,,,Wayfarers,,Astronaut,Teal,Dosbrak
408,Standard,,,Diamond Grill,,Gloves,,Mustard,Dosbrak
409,Old Mike,DJ Mikey B,Red Terminator,Cigar,,Gloves,,Red,Dosbrak
410,Old Mike,,Red Terminator,Cigar,Wayfarers,,Jiu Jitsu Robe,Black,Dosbrak
411,Standard,,Red Terminator,,,Bare Fists,Bloody Body,Mustard,Dosbrak
412,Bald,Announcer,,,,Bare Fists,,Mustard,Dosbrak
413,Standard,Crown,Bloody,,,Bloody Gloves,Punk Jacket,Black,Dosbrak
414,Standard,,,,,Bloody Wraps,,Red,Dosbrak
415,Standard,,,,Bruised Eye,,Jiu Jitsu Robe,Black,Dosbrak
416,Standard,,,,Bruised Eye,Knuckle Duster Spikes,Bloody Body,Teal,Dosbrak
417,Bald,Sparring Headgear,,Cigar,,SOL Gloves,,Purple,Dosbrak
418,Standard,,Bloody,Falling Mouthguard,,,Punk Jacket,Red,Dosbrak
419,Standard,,,,,Bloody Gloves,Punk Jacket,Black,Dosbrak
420,Standard,Snapback,Bloody,,,Bloody Gloves,Jiu Jitsu Robe,Black,Dosbrak
421,Bald,,,,Wayfarers,Bare Fists,Bloody Body,Red,Dosbrak
422,Old Mike,,Bloody,Cigar,,,Suit,Mustard,Dosbrak
423,Bald,,,,Wayfarers,Gold Gloves,The Count,Black,Dosbrak
424,Bald,,Bloody,,,Bloody Gloves,,Red,Dosbrak
425,Old Mike,,,Falling Mouthguard,,Microphone,Suit,Red,Dosbrak
426,Bald,,Red Terminator,,,Bloody Wraps,Jiu Jitsu Robe,Black,Dosbrak
427,Standard,,,,Wayfarers,Knuckle Duster Spikes,Suit,Purple,Dosbrak
428,Standard,Announcer,,,,Gloves,Suit,Black,Dosbrak
429,Standard,,,Falling Mouthguard,Laser Eyes,Gold Gloves,Bloody Body,Purple,Dosbrak
430,Standard,Sparring Headgear,,Cigar,,SOL Gloves,,Red,Dosbrak
431,Bald,,,,,,Suit,Teal,Dosbrak
432,Standard,,,,Wayfarers,Bloody Gloves,Bloody Body,Teal,Dosbrak
433,Standard,,Bloody,,,Bloody Wraps,,Purple,Dosbrak
434,Standard,,,Falling Mouthguard,,Gloves,,Octagon,Dosbrak
435,Standard,DJ Mikey B,,,Laser Eyes,,Bloody Body,Teal,Dosbrak
436,Standard,,,Falling Mouthguard,,SOL Gloves,Punk Jacket,Teal,Dosbrak
437,Bald,,Red Terminator,,,Bloody Gloves,,Red,Dosbrak
438,Standard,,Bloody,,,Bloody Gloves,Punk Jacket,Teal,Dosbrak
439,Standard,DJ Mikey B,,Cigar,Bruised Eye,Bare Fists,Bloody Body,Teal,Dosbrak
440,Standard,Snapback,,,,SOL Gloves,Jiu Jitsu Robe,Red,Dosbrak
441,Standard,Sparring Headgear,,,,,,Black,Dosbrak
442,Standard,,,,Laser Eyes,Gold Gloves,Jiu Jitsu Robe,Black,Dosbrak
443,Standard,Sparring Headgear,,,,,,Red,Dosbrak
444,Standard,,Gold Terminator,,,Gloves,Astronaut,Teal,Dosbrak
445,Standard,,,Cigar,,,Butcher,Teal,Dosbrak
446,Standard,,,,Bruised Eye,Bare Fists,Bloody Body,Mustard,Dosbrak
447,Old Mike,,,Falling Mouthguard,,Bloody Wraps,Punk Jacket,Red,Dosbrak
448,Standard,,,Cigar,Wayfarers,,Suit,Teal,Dosbrak
449,Standard,,,Cigar,,,,Count's Lair,Dosbrak
450,Old Mike,Snapback,,,Laser Eyes,Bare Fists,Bloody Body,Red,Dosbrak
451,Bald,Sparring Headgear,,Cigar,,,,Purple,Dosbrak
452,Standard,,Bloody,,Wayfarers,,Patriot Flag,Mustard,Dosbrak
453,Standard,,Bloody,Cigar,,Gold Gloves,,Teal,Dosbrak
454,Standard,,,Diamond Grill,Bruised Eye,SOL Gloves,Punk Jacket,Purple,Dosbrak
455,Standard,,,,Wayfarers,Bloody Gloves,Astronaut,Red,Dosbrak
456,Standard,Snapback,,,Bruised Eye,Bloody Wraps,Bloody Body,Red,Dosbrak
457,Bald,,,Diamond Grill,,,Butcher,Blockasset,Dosbrak
458,Standard,,Bloody,,,199 Belt,The Count,Red,Dosbrak
459,Bald,Announcer,,,,Bare Fists,,Octagon,Dosbrak
460,Standard,,Bloody,,Laser Eyes,Bloody Gloves,Tattoo,Mustard,Dosbrak
461,Standard,Announcer,,,,Bloody Wraps,Tattoo,Mustard,Dosbrak
462,Standard,Announcer,Red Terminator,,,Bare Fists,Bloody Body,Red,Dosbrak
463,Bald,,,Falling Mouthguard,,Gloves,Suit,Purple,Dosbrak
464,Bald,,Bloody,Cigar,Laser Eyes,Bare Fists,Bloody Body,Mustard,Dosbrak
465,Old Mike,,,,,Microphone,Suit,Black,Dosbrak
466,Standard,Snapback,Bloody,,,,,Purple,Dosbrak
467,Standard,,Bloody,,,Bare Fists,Suit,Mustard,Dosbrak
468,Standard,,,,Laser Eyes,Bloody Wraps,,Red,Dosbrak
469,Standard,,,,Bruised Eye,Gloves,Jiu Jitsu Robe,Red,Dosbrak
470,Standard,,,,Wayfarers,Gloves,The Count,Count's Lair,Dosbrak
471,Bald,Announcer,,,Bruised Eye,SOL Gloves,,Black,Dosbrak
472,Standard,Sparring Headgear,Red Terminator,,Laser Eyes,Bloody Wraps,,Mustard,Dosbrak
473,Standard,,,,,,Bloody Body,Purple,Dosbrak
474,Bald,,,,Bruised Eye,Bare Fists,Tattoo,Count's Lair,Dosbrak
475,Standard,,,,,Bloody Gloves,Tattoo,Teal,Dosbrak
476,Standard,,,,Bruised Eye,Bare Fists,,Red,Dosbrak
477,Standard,DJ Mikey B,,,Laser Eyes,Gloves,Jiu Jitsu Robe,Mustard,Dosbrak
478,Standard,,,,,,,Purple,Dosbrak
479,Old Mike,,,,Wayfarers,Microphone,Suit,Black,Dosbrak
480,Bald,,,Diamond Grill,,,Bloody Body,Octagon,Dosbrak
481,Standard,,,,,199 Belt,Tattoo,Red,Dosbrak
482,Bald,Snapback,,Falling Mouthguard,,Gold Gloves,,Purple,Dosbrak
483,Standard,,,Cigar,Bruised Eye,SOL Gloves,,Purple,Dosbrak
484,Standard,,Bloody,,Wayfarers,,Jiu Jitsu Robe,Red,Dosbrak
485,Standard,Sparring Headgear,,Diamond Grill,Laser Eyes,Bare Fists,,Red,Dosbrak
486,Standard,,,,Wayfarers,Microphone,Suit,Black,Dosbrak
487,Bald,Sparring Headgear,Bloody,,,Gold Gloves,,Mustard,Dosbrak
488,Standard,Crown,,,,SOL Gloves,Jiu Jitsu Robe,Purple,Dosbrak
489,Standard,Snapback,Bloody,,,,,Mustard,Dosbrak
490,Standard,Announcer,,,,,Suit,Red,Dosbrak
491,Standard,,,,Wayfarers,Gloves,Jiu Jitsu Robe,Mustard,Dosbrak
492,Old Mike,,,,,,Butcher,Teal,Dosbrak
493,Bald,,,,Laser Eyes,Gold Gloves,Suit,Teal,Dosbrak
494,Standard,Snapback,,,,Bare Fists,Bloody Body,Mustard,Dosbrak
495,Standard,,,,Bruised Eye,,Patriot Flag,Red,Dosbrak
496,Standard,,,,,199 Belt,Punk Jacket,Black,Dosbrak
497,Bald,Announcer,,,,,Bloody Body,Red,Dosbrak
498,Standard,,,Cigar,Bruised Eye,,Butcher,Teal,Dosbrak
499,Standard,,,,Bruised Eye,Bare Fists,Bloody Body,Purple,Dosbrak
500,Standard,Snapback,Bloody,Cigar,,Bare Fists,Jiu Jitsu Robe,Red,Dosbrak
501,Standard,,Bloody,Falling Mouthguard,,Gloves,,Black,Dosbrak
502,Bald,Snapback,Bloody,,,,Tattoo,Mustard,Dosbrak
503,Old Mike,,,,,Gloves,Suit,Red,Dosbrak
504,Bald,Announcer,,,,199 Belt,Jiu Jitsu Robe,Blockasset,Dosbrak
505,Standard,,,,,Microphone,Suit,Red,Dosbrak
506,Bald,,,,Bruised Eye,,Suit,Teal,Dosbrak
507,Bald,,,,,Bloody Gloves,,Purple,Dosbrak
508,Bald,,,,Bruised Eye,,Jiu Jitsu Robe,Black,Dosbrak
509,Old Mike,,,,,Bloody Gloves,Bloody Body,Mustard,Dosbrak
510,Standard,,,Diamond Grill,Wayfarers,Bloody Wraps,Bloody Body,Black,Dosbrak
511,Standard,Sparring Headgear,,Diamond Grill,,,,Octagon,Dosbrak
512,Standard,DJ Mikey B,Red Terminator,Cigar,,,Jiu Jitsu Robe,Black,Dosbrak
513,Standard,,,,,Bloody Gloves,The Count,Mustard,Dosbrak
514,Old Mike,,,,,Bare Fists,Jiu Jitsu Robe,Black,Dosbrak
515,Standard,,,Falling Mouthguard,Bruised Eye,Bare Fists,Jiu Jitsu Robe,Purple,Dosbrak
516,Old Mike,Announcer,,,,Bloody Gloves,Bloody Body,Black,Dosbrak
517,Bald,,,,,,,Red,Dosbrak
518,Standard,,Bloody,,,Bare Fists,Bloody Body,Mustard,Dosbrak
519,Standard,,,Cigar,Wayfarers,Bloody Gloves,Jiu Jitsu Robe,Red,Dosbrak
520,Bald,,,Falling Mouthguard,,,Butcher,Black,Dosbrak
521,Bald,,,,,,Jiu Jitsu Robe,Black,Dosbrak
522,Standard,,,Falling Mouthguard,,Gloves,,Teal,Dosbrak
523,Standard,,Bloody,,,Gloves,Bloody Body,Teal,Dosbrak
524,Bald,,,,,Bloody Gloves,Bloody Body,Teal,Dosbrak
525,Bald,,Bloody,,,SOL Gloves,Tattoo,Red,Dosbrak
526,Standard,Snapback,,Falling Mouthguard,,Bare Fists,Jiu Jitsu Robe,Black,Dosbrak
527,Standard,,,Cigar,Wayfarers,Bloody Wraps,Jiu Jitsu Robe,Octagon,Dosbrak
528,Standard,DJ Mikey B,Red Terminator,,,,Bloody Body,Red,Dosbrak
529,Standard,Announcer,Bloody,,,Bloody Wraps,Tattoo,Purple,Dosbrak
530,Standard,,,,Laser Eyes,Gloves,,Teal,Dosbrak
531,Standard,,,,Bruised Eye,Bare Fists,,Teal,Dosbrak
532,Standard,,,,Wayfarers,Gloves,Suit,Black,Dosbrak
533,Bald,,,,Wayfarers,,The Count,Red,Dosbrak
534,Standard,Snapback,,Cigar,,Knuckle Duster Spikes,Jiu Jitsu Robe,Teal,Dosbrak
535,Standard,,,,,Gloves,,Teal,Dosbrak
536,Standard,,,Cigar,,Gloves,Suit,Red,Dosbrak
537,Standard,Sparring Headgear,Bloody,,Laser Eyes,,,Red,Dosbrak
538,Bald,Sparring Headgear,,,,Bloody Wraps,,Mustard,Dosbrak
539,Standard,Sparring Headgear,,Cigar,,Diamond Gloves,,Mustard,Dosbrak
540,Bald,Snapback,,Cigar,Bruised Eye,,Bloody Body,Mustard,Dosbrak
541,Old Mike,,,,,SOL Gloves,Punk Jacket,Black,Dosbrak
542,Standard,,,,Bruised Eye,,Butcher,Black,Dosbrak
543,Standard,Sparring Headgear,Bloody,Diamond Grill,,Gloves,,Black,Dosbrak
544,Standard,,Bloody,Cigar,,Gloves,Suit,Teal,Dosbrak
545,Bald,Crown,,,,Bare Fists,Jiu Jitsu Robe,Purple,Dosbrak
546,Standard,,,Diamond Grill,Wayfarers,Gold Gloves,Suit,Red,Dosbrak
547,Standard,,,,Bruised Eye,Bloody Wraps,,Red,Dosbrak
548,Bald,,Bloody,,,Gloves,Bloody Body,Purple,Dosbrak
549,Standard,,Gold Terminator,,,Gloves,Suit,Teal,Dosbrak
550,Standard,,,Cigar,,SOL Gloves,,Blockasset,Dosbrak
551,Standard,Announcer,,,Bruised Eye,Gloves,Bloody Body,Black,Dosbrak
552,Standard,,Bloody,Falling Mouthguard,,Bloody Wraps,Jiu Jitsu Robe,Red,Dosbrak
553,Old Mike,Announcer,,,,Gold Gloves,,Mustard,Dosbrak
554,Standard,,,,,Gold Gloves,Jiu Jitsu Robe,Black,Dosbrak
555,Bald,Sparring Headgear,,,,Bloody Gloves,,Teal,Dosbrak
556,Standard,Announcer,Red Terminator,,,Gold Gloves,Tattoo,Red,Dosbrak
557,Standard,,Bloody,,,,Suit,Black,Dosbrak
558,Standard,,,Cigar,,,Jiu Jitsu Robe,Teal,Dosbrak
559,Standard,Sparring Headgear,Red Terminator,,,Bare Fists,,Red,Dosbrak
560,Bald,,Bloody,Cigar,Laser Eyes,,Suit,Red,Dosbrak
561,Standard,Snapback,Bloody,,,Bare Fists,Bloody Body,Black,Dosbrak
562,Standard,,,,Bruised Eye,Bare Fists,Punk Jacket,Red,Dosbrak
563,Standard,Sparring Headgear,Red Terminator,,,Bloody Wraps,,Teal,Dosbrak
564,Standard,Announcer,,,,Bloody Wraps,Punk Jacket,Purple,Dosbrak
565,Standard,,,,,,,Blockasset,Dosbrak
566,Standard,DJ Mikey B,,,Bruised Eye,Bare Fists,Bloody Body,Blockasset,Dosbrak
567,Standard,,,,Wayfarers,Microphone,Suit,Teal,Dosbrak
568,Standard,,,,Wayfarers,Bare Fists,Punk Jacket,Black,Dosbrak
569,Standard,,Red Terminator,,Wayfarers,Bare Fists,Jiu Jitsu Robe,Black,Dosbrak
570,Bald,,Bloody,Falling Mouthguard,,,Jiu Jitsu Robe,Mustard,Dosbrak
571,Old Mike,,,,Bruised Eye,Bare Fists,Punk Jacket,Mustard,Dosbrak
572,Bald,,,,,Bloody Wraps,Suit,Purple,Dosbrak
573,Old Mike,Snapback,Red Terminator,,,Bloody Gloves,,Red,Dosbrak
574,Bald,,,Falling Mouthguard,,Bare Fists,,Red,Dosbrak
575,Standard,Sparring Headgear,Bloody,Diamond Grill,,Bloody Gloves,,Red,Dosbrak
576,Old Mike,Sparring Headgear,,,,,,Black,Dosbrak
577,Old Mike,,,,Wayfarers,,Patriot Flag,Teal,Dosbrak
578,Standard,DJ Mikey B,,Diamond Grill,Bruised Eye,Microphone,Suit,Red,Dosbrak
579,Bald,,,Cigar,,,Butcher,Red,Dosbrak
580,Standard,,,,Bruised Eye,Microphone,Suit,Mustard,Dosbrak
581,Standard,Announcer,Red Terminator,Falling Mouthguard,,,Patriot Flag,Red,Dosbrak
582,Bald,,,Falling Mouthguard,,199 Belt,Bloody Body,Red,Dosbrak
583,Bald,,Red Terminator,Cigar,Wayfarers,Bloody Gloves,Punk Jacket,Red,Dosbrak
584,Standard,Snapback,,,,,,Mustard,Dosbrak
585,Standard,Announcer,,,,Gloves,Jiu Jitsu Robe,Black,Dosbrak
586,Standard,,,Cigar,Laser Eyes,Bare Fists,Bloody Body,Red,Dosbrak
587,Standard,,,,,,Jiu Jitsu Robe,Black,Dosbrak
588,Bald,,Bloody,,,Bloody Gloves,The Count,Red,Dosbrak
589,Standard,,,Cigar,,,Butcher,Mustard,Dosbrak
590,Bald,Snapback,,,,Gold Gloves,,Blockasset,Dosbrak
591,Standard,,,Diamond Grill,,Gloves,Punk Jacket,Teal,Dosbrak
592,Bald,Announcer,Bloody,,,Bare Fists,The Count,Black,Dosbrak
593,Standard,Snapback,,,,Gloves,,Red,Dosbrak
594,Standard,Sparring Headgear,Bloody,,,,,Teal,Dosbrak
595,Standard,,Bloody,Falling Mouthguard,,Bloody Wraps,Bloody Body,Blockasset,Dosbrak
596,Standard,,Red Terminator,,,,,Red,Dosbrak
597,Standard,,,,Bruised Eye,Bloody Wraps,Patriot Flag,Purple,Dosbrak
598,Bald,,,,,,Butcher,Red,Dosbrak
599,Standard,Sparring Headgear,,,,Knuckle Duster Spikes,,Blockasset,Dosbrak
600,Standard,DJ Mikey B,,Falling Mouthguard,,Bare Fists,,Red,Dosbrak
601,Old Mike,,Bloody,,Laser Eyes,,Suit,Purple,Dosbrak
602,Standard,,Bloody,,,,,Red,Dosbrak
603,Old Mike,,,,Bruised Eye,,,Black,Dosbrak
604,Bald,Announcer,Bloody,Falling Mouthguard,,,Jiu Jitsu Robe,Black,Dosbrak
605,Standard,,Red Terminator,Cigar,Wayfarers,Microphone,Suit,Black,Dosbrak
606,Bald,Announcer,,,Bruised Eye,,Jiu Jitsu Robe,Mustard,Dosbrak
607,Old Mike,,,,Bruised Eye,Bloody Wraps,Suit,Red,Dosbrak
608,Bald,,,Falling Mouthguard,,,Jiu Jitsu Robe,Red,Dosbrak
609,Standard,,Bloody,Diamond Grill,Wayfarers,Bloody Wraps,Jiu Jitsu Robe,Purple,Dosbrak
610,Standard,,Bloody,,Wayfarers,Bare Fists,Tattoo,Mustard,Dosbrak
611,Old Mike,Announcer,,,,Gloves,Bloody Body,Mustard,Dosbrak
612,Standard,,,Falling Mouthguard,,SOL Gloves,Jiu Jitsu Robe,Mustard,Dosbrak
613,Bald,,,Cigar,,199 Belt,,Teal,Dosbrak
614,Standard,,,,Laser Eyes,,Suit,Teal,Dosbrak
615,Old Mike,,,,Bruised Eye,Diamond Gloves,Tattoo,Mustard,Dosbrak
616,Standard,Snapback,,,,Gold Gloves,,Red,Dosbrak
617,Old Mike,,,,,SOL Gloves,Suit,Purple,Dosbrak
618,Standard,,,,,199 Belt,,Red,Dosbrak
619,Standard,,Bloody,,,SOL Gloves,Punk Jacket,Teal,Dosbrak
620,Old Mike,,,,Bruised Eye,Bloody Gloves,,Purple,Dosbrak
621,Standard,Snapback,Gold Terminator,Falling Mouthguard,,Bare Fists,,Black,Dosbrak
622,Standard,,Bloody,,,,,Teal,Dosbrak
623,Bald,,Bloody,,,Bare Fists,,Black,Dosbrak
624,Standard,,,,Bruised Eye,Gold Gloves,Bloody Body,Red,Dosbrak
625,Bald,,,,Bruised Eye,,Suit,Black,Dosbrak
626,Bald,Snapback,,,,Gloves,Bloody Body,Count's Lair,Dosbrak
627,Standard,,,Falling Mouthguard,Wayfarers,Gold Gloves,Bloody Body,Black,Dosbrak
628,Standard,DJ Mikey B,Bloody,,,,Suit,Red,Dosbrak
629,Standard,,,Cigar,Bruised Eye,Gold Gloves,Jiu Jitsu Robe,Red,Dosbrak
630,Standard,,Bloody,,Laser Eyes,SOL Gloves,Jiu Jitsu Robe,Octagon,Dosbrak
631,Bald,,,,Wayfarers,Bloody Gloves,Punk Jacket,Purple,Dosbrak
632,Standard,,,,Wayfarers,Gloves,Punk Jacket,Purple,Dosbrak
633,Standard,Announcer,,,,Gloves,Tattoo,Black,Dosbrak
634,Old Mike,,Bloody,,,Bare Fists,Bloody Body,Purple,Dosbrak
635,Standard,,,,,Bloody Gloves,Tattoo,Purple,Dosbrak
636,Standard,,Gold Terminator,,,Bare Fists,Bloody Body,Red,Dosbrak
637,Standard,DJ Mikey B,,,Bruised Eye,Bare Fists,Punk Jacket,Mustard,Dosbrak
638,Standard,,,Falling Mouthguard,,Bare Fists,Punk Jacket,Mustard,Dosbrak
639,Old Mike,,,,,,,Purple,Dosbrak
640,Standard,,,Cigar,,,Tattoo,Black,Dosbrak
641,Old Mike,Sparring Headgear,,Falling Mouthguard,,Knuckle Duster Spikes,,Purple,Dosbrak
642,Standard,,,,Wayfarers,Gloves,Tattoo,Black,Dosbrak
643,Standard,DJ Mikey B,,,Bruised Eye,Bare Fists,Punk Jacket,Teal,Dosbrak
644,Standard,,,Cigar,,Bloody Wraps,,Teal,Dosbrak
645,Standard,,,,,Gloves,Patriot Flag,Teal,Dosbrak
646,Standard,,Bloody,Falling Mouthguard,Wayfarers,Bare Fists,Bloody Body,Black,Dosbrak
647,Standard,Announcer,,,Laser Eyes,,Punk Jacket,Mustard,Dosbrak
648,Standard,,Bloody,,Wayfarers,Gloves,Jiu Jitsu Robe,Black,Dosbrak
649,Standard,Snapback,,,Bruised Eye,Gold Gloves,Tattoo,Blockasset,Dosbrak
650,Standard,Sparring Headgear,Bloody,,,Bloody Wraps,,Teal,Dosbrak
651,Standard,Snapback,,,,,Jiu Jitsu Robe,Teal,Dosbrak
652,Old Mike,,,,,Gloves,Tattoo,Black,Dosbrak
653,Old Mike,Sparring Headgear,,Cigar,,Bloody Gloves,,Octagon,Dosbrak
654,Old Mike,Sparring Headgear,,,,Bloody Gloves,,Octagon,Dosbrak
655,Standard,,,,,Bloody Gloves,Jiu Jitsu Robe,Mustard,Dosbrak
656,Standard,,,,Bruised Eye,Bloody Gloves,Bloody Body,Count's Lair,Dosbrak
657,Standard,,,Cigar,Wayfarers,Gloves,Bloody Body,Teal,Dosbrak
658,Bald,,,,,Bare Fists,Suit,Black,Dosbrak
659,Old Mike,Sparring Headgear,,,,Bare Fists,,Blockasset,Dosbrak
660,Standard,,Bloody,Cigar,,Gloves,,Purple,Dosbrak
661,Standard,,,,Wayfarers,SOL Gloves,Bloody Body,Mustard,Dosbrak
662,Standard,,,Falling Mouthguard,Wayfarers,Gloves,Bloody Body,Octagon,Dosbrak
663,Bald,Snapback,,,,Bloody Gloves,Tattoo,Mustard,Dosbrak
664,Standard,Snapback,,,Laser Eyes,Bloody Gloves,,Red,Dosbrak
665,Bald,,Bloody,Diamond Grill,Wayfarers,Gold Gloves,Jiu Jitsu Robe,Red,Dosbrak
666,Standard,,,,,SOL Gloves,Tattoo,Teal,Dosbrak
667,Bald,,,Falling Mouthguard,,Bloody Wraps,Suit,Blockasset,Dosbrak
668,Bald,,,Cigar,,Gloves,Suit,Black,Dosbrak
669,Standard,,Red Terminator,,,Gold Gloves,,Mustard,Dosbrak
670,Standard,,,,,199 Belt,Patriot Flag,Purple,Dosbrak
671,Standard,,,,,Gold Gloves,,Purple,Dosbrak
672,Old Mike,Announcer,,,,Gloves,Bloody Body,Purple,Dosbrak
673,Standard,Sparring Headgear,,Cigar,,,,Mustard,Dosbrak
674,Standard,Snapback,,,,Bare Fists,Punk Jacket,Purple,Dosbrak
675,Standard,,Bloody,Cigar,,Microphone,Suit,Red,Dosbrak
676,Standard,,Bloody,,,,,Blockasset,Dosbrak
677,Standard,Snapback,,Cigar,,Bare Fists,Tattoo,Teal,Dosbrak
678,Bald,Snapback,,,Bruised Eye,,Tattoo,Blockasset,Dosbrak
679,Standard,,,,Bruised Eye,199 Belt,Jiu Jitsu Robe,Teal,Dosbrak
680,Standard,,,Falling Mouthguard,Wayfarers,199 Belt,Suit,Blockasset,Dosbrak
681,Standard,,Bloody,Falling Mouthguard,Wayfarers,Gloves,The Count,Mustard,Dosbrak
682,Standard,Announcer,,,Laser Eyes,Bloody Gloves,Jiu Jitsu Robe,Purple,Dosbrak
683,Bald,,,,Bruised Eye,,Bloody Body,Octagon,Dosbrak
684,Bald,,,,Wayfarers,199 Belt,The Count,Black,Dosbrak
685,Bald,Snapback,Bloody,,,,Suit,Red,Dosbrak
686,Old Mike,,,,,Bare Fists,,Blockasset,Dosbrak
687,Standard,,,,,Bare Fists,Bloody Body,Mustard,Dosbrak
688,Standard,,Bloody,Cigar,Laser Eyes,Gold Gloves,Bloody Body,Blockasset,Dosbrak
689,Standard,,Bloody,,,Bare Fists,,Red,Dosbrak
690,Old Mike,Announcer,,,Bruised Eye,SOL Gloves,Suit,Red,Dosbrak
691,Standard,,Red Terminator,,,,Bloody Body,Teal,Dosbrak
692,Standard,,,Falling Mouthguard,,Bloody Wraps,,Teal,Dosbrak
693,Standard,,,,,Bare Fists,Tattoo,Red,Dosbrak
694,Old Mike,Announcer,,,,Bare Fists,Suit,Teal,Dosbrak
